Date,Optimized Portfolio,Equal Weight Portfolio,NIFTY 50 Benchmark
2024-12-13,0.010438438666793311,0.006974992670136235,0.008945547808588916
2024-12-16,-0.003975197124604806,-0.003773157965005236,-0.004039468921733236
2024-12-17,-0.011913145469193047,-0.013138815057343944,-0.013468730047733413
2024-12-18,-0.0014381663177212244,-0.00533702961075623,-0.005635699812006956
2024-12-19,-0.0036232985688419237,-0.0058651046500491025,-0.010213311567061067
2024-12-20,-0.011545859665933536,-0.015498342066149954,-0.01520556915080562
2024-12-23,0.001970365755996787,0.004892742636914246,0.0070354729729729115
2024-12-24,-0.0025107875438843607,-0.002417785292748663,-0.0010861087115143775
2024-12-26,0.01003859414511412,0.0023450014334375465,0.0009503186263191132
2024-12-27,0.005001203900245933,0.0015685815557871573,0.002661079652128029
2024-12-30,0.0035062176479694453,-0.0033982595816855893,-0.007075847935867907
2024-12-31,0.00027467738473824395,0.0008573499462796786,-4.212721278373799e-06
2025-01-01,0.003521191841206167,0.0030284510640682357,0.004148887118253564
2025-01-02,0.012616351930349278,0.021808852712472918,0.018774033191665485
2025-01-03,-0.012027834843511633,-0.0034812465844096478,-0.007602755327609123
2025-01-06,-0.012037916747544213,-0.01689826515632222,-0.016192595996625703
2025-01-07,0.0005804977161740239,0.005140024655179614,0.0038892874268343647
2025-01-08,-0.0036706619978025073,-0.0005869189494801119,-0.0007993610384197103
2025-01-09,-0.0001635206690821687,-0.004993934657888996,-0.006857594959147506
2025-01-10,-0.005937257787745287,-0.006464618483211312,-0.004037999702463213
2025-01-13,-0.01557111877915811,-0.019569575723650017,-0.014747275302477436
2025-01-14,0.010866475714113793,0.009190026026654075,0.003902874499386977
2025-01-15,-0.00929315155194791,0.0009005350114460353,0.0016028803979861728
2025-01-16,0.00567762025017769,0.0033990183749771133,0.004247650725383689
2025-01-17,9.297078225927748e-05,0.0018073858153878721,-0.004658651792672774
2025-01-20,0.003022708814482269,0.007443201046257639,0.006100485537167577
2025-01-21,-0.015697322772929536,-0.010781467158672328,-0.013711845677293555
2025-01-22,0.007800048637536032,0.004108799582307288,0.0056764909144164655
